=============================================
Dataset: PhonemeSpectra
Method:  TS-TCC
Mode:    self_supervised
Seed:    2024
mask:    0.75
lam:     0.3
lr:      0.0001
ft_lt:   0.0001
pre_epo: 100
ft_epo:  200
head:    4
layer:   8
d_head:  2
d_layer: 2
fd_layer:2
=============================================
Data loaded ...
Pre-training started ....
Epoch 1/100: loss: 19.06769561767578, ts loss: 7.553589344024658, fq loss: 2.168006181716919, ts_freq loss: 18.400245666503906, fq_freq loss: 12.75341510772705
Epoch 93/100: loss: 12.996739387512207, ts loss: 3.474592685699463, fq loss: 1.1179416179656982, ts_freq loss: 16.044208526611328, fq_freq loss: 11.969809532165527

Epoch 94/100: loss: 13.065168380737305, ts loss: 3.52590274810791, fq loss: 1.0976489782333374, ts_freq loss: 16.12186622619629, fq_freq loss: 12.016854286193848

Epoch 95/100: loss: 12.896413803100586, ts loss: 3.480154037475586, fq loss: 1.096692681312561, ts_freq loss: 15.946974754333496, fq_freq loss: 11.784913063049316

Epoch 96/100: loss: 12.905204772949219, ts loss: 3.4957220554351807, fq loss: 1.0782617330551147, ts_freq loss: 15.999691009521484, fq_freq loss: 11.771042823791504

Epoch 97/100: loss: 13.083431243896484, ts loss: 3.6150472164154053, fq loss: 1.1226383447647095, ts_freq loss: 16.04265785217285, fq_freq loss: 11.776493072509766

Epoch 98/100: loss: 13.06968879699707, ts loss: 3.5460996627807617, fq loss: 1.1209150552749634, ts_freq loss: 16.06890869140625, fq_freq loss: 11.940006256103516

Epoch 99/100: loss: 12.848247528076172, ts loss: 3.4353952407836914, fq loss: 1.0860670804977417, ts_freq loss: 15.9954833984375, fq_freq loss: 11.760461807250977

Epoch 100/100: loss: 13.013995170593262, ts loss: 3.495806932449341, fq loss: 1.1013209819793701, ts_freq loss: 16.101144790649414, fq_freq loss: 11.955079078674316

Training time is : 0:03:51.313498
